record_id,customer_id,timestamp,date,time,hour,day_of_week,month,season,is_weekend,is_holiday,customer_type,income_level,age_group,family_size,region,climate_zone,urban_setting,energy_source,meter_type,grid_reliability,building_type,building_size_sqft,construction_year,energy_certification,energy_usage_kwh,peak_hours_usage,off_peak_hours_usage,usage_per_person,usage_per_sqft,lifestyle_type,work_pattern,activity_pattern,efficiency_score,usage_pattern,anomaly_score,appliance_count,appliances,carbon_footprint_kg,cost_estimate_usd,savings_potential_percent,usage_description,efficiency_insights,recommendations
11,CUST0011,2024-11-13T23:09:00,2024-11-13,23:09:00,23,Wednesday,11,Fall,0,0,Small_Business,Medium,26-35,7,Northeast,Subtropical,Rural,Wind,Digital_Meter,Good,Townhouse,2895,1960,LEED_Platinum,58.91,39.48,17.78,8.42,0.0203,Eco_Conscious,Hybrid,Night_Owl,100,High_Usage,0.637,19,"Microwave,Oven,Dryer,Air_Conditioner,Refrigerator,Water_Heater,Dishwasher,Gaming_Console,Washing_Machine,TV,Computer,Heater",54.2,7.89,21.9,Energy consumption of 58.9 kWh for townhouse with 7 occupants.,Excellent efficiency rating of 100 with LEED_Platinum certification. Building constructed in 1960 with 12 appliances.,Optimize HVAC system settings; Consider solar panel installation
12,CUST0012,2024-01-15T03:56:00,2024-01-15,03:56:00,3,Monday,1,Winter,0,1,Large_Business,Medium,56-65,5,Northeast,Tropical,Rural,Hybrid,Digital_Meter,Fair,Condo,2109,1995,None,259.47,182.0,86.5,51.89,0.123,Tech_Heavy,Hybrid,Regular,81.1,Extreme_High,1.0,18,"Refrigerator,Gaming_Console,Heater,Dryer,Microwave,Air_Conditioner,Water_Heater,Washing_Machine,Oven,TV,Computer,Dishwasher",238.71,30.18,18.9,Tech_Heavy lifestyle with 51.9 kWh per person during night.,Excellent efficiency rating of 81.064 with None certification. Building constructed in 1995 with 12 appliances.,Optimize HVAC system settings
13,CUST0013,2024-04-08T13:42:00,2024-04-08,13:42:00,13,Monday,4,Spring,0,0,Industrial,Medium,56-65,5,Southwest,Polar,Urban,Wind,Digital_Meter,Good,Condo,2360,2010,None,241.51,147.14,95.83,48.3,0.1023,Eco_Conscious,Shift_Work,Irregular,84.6,Extreme_High,1.0,20,"Water_Heater,Washing_Machine,Dishwasher,Oven,Microwave,Refrigerator,Air_Conditioner,Heater,Computer,TV,Gaming_Console,Dryer",222.19,31.53,20.4,Usage pattern indicates eco_conscious behavior with 48.3 kWh per person.,Excellent efficiency rating of 84.56 with None certification. Building constructed in 2010 with 12 appliances.,Optimize HVAC system settings
14,CUST0014,2024-07-31T20:36:00,2024-07-31,20:36:00,20,Wednesday,7,Summer,0,0,Small_Business,Very_High,46-55,7,Southeast,Subtropical,Rural,Grid,Smart_Meter,Poor,Apartment,1887,1960,None,106.92,80.06,31.54,15.27,0.0567,Average,Remote,Irregular,85.3,Extreme_High,0.012,19,"Heater,Gaming_Console,Water_Heater,Microwave,Computer,Oven,Air_Conditioner,TV,Dryer,Washing_Machine,Dishwasher,Refrigerator",98.37,12.08,9.9,Energy consumption of 106.9 kWh for apartment with 7 occupants.,Excellent efficiency rating of 85.33357608374983 with None certification. Building constructed in 1960 with 12 appliances.,Optimize HVAC system settings
15,CUST0015,2024-09-23T15:40:00,2024-09-23,15:40:00,15,Monday,9,Fall,0,0,Small_Business,High,46-55,2,Midwest,Subtropical,Suburban,Wind,Digital_Meter,Excellent,Apartment,1096,1960,LEED_Gold,7.48,4.94,2.08,3.74,0.0068,Average,Remote,Irregular,100,Low_Usage,0.573,19,"TV,Refrigerator,Dryer,Water_Heater,Gaming_Console,Computer,Oven,Heater,Air_Conditioner,Dishwasher,Microwave,Washing_Machine",6.89,1.08,21.7,Average lifestyle with 3.7 kWh per person during afternoon.,Excellent efficiency rating of 100 with LEED_Gold certification. Building constructed in 1960 with 12 appliances.,Maintain current efficient practices
16,CUST0016,2024-09-06T07:17:00,2024-09-06,07:17:00,7,Friday,9,Fall,0,0,Industrial,Very_High,18-25,7,Midwest,Continental,Rural,Solar,Digital_Meter,Good,Office,4101,1990,LEED_Platinum,146.43,95.25,31.68,20.92,0.0357,Minimalist,Remote,Irregular,97.3,Extreme_High,0.362,19,"Washing_Machine,Refrigerator,Oven,TV,Microwave,Dishwasher,Dryer,Water_Heater,Air_Conditioner,Gaming_Console,Computer,Heater",134.72,14.78,15.8,Energy consumption of 146.4 kWh for office with 7 occupants.,Excellent efficiency rating of 97.28285714285714 with LEED_Platinum certification. Building constructed in 1990 with 12 appliances.,Optimize HVAC system settings
17,CUST0017,2024-04-24T20:04:00,2024-04-24,20:04:00,20,Wednesday,4,Spring,0,0,Residential,Low,26-35,4,Northeast,Polar,Urban,Solar,Smart_Meter,Poor,Warehouse,1911,1955,None,59.73,40.58,20.49,14.93,0.0313,High_Consumption,Office,Night_Owl,91.0,Extreme_High,0.023,8,"Washing_Machine,Oven,Dishwasher,Refrigerator,Heater,Computer,Microwave,Dryer",54.95,6.2,18.8,High_Consumption lifestyle with 14.9 kWh per person during evening.,Excellent efficiency rating of 91.01158080859177 with None certification. Building constructed in 1955 with 8 appliances.,Implement energy conservation practices
18,CUST0018,2024-02-22T22:49:00,2024-02-22,22:49:00,22,Thursday,2,Winter,0,0,Large_Business,Low,56-65,1,Midwest,Polar,Suburban,Wind,Smart_Meter,Fair,Single_Family,1750,2015,Energy_Star,54.37,35.65,15.77,54.37,0.0311,High_Consumption,Shift_Work,Night_Owl,79.5,Extreme_High,1.0,13,"Air_Conditioner,Gaming_Console,Computer,Water_Heater,TV,Heater,Microwave,Oven,Washing_Machine,Dishwasher,Refrigerator,Dryer",50.02,7.48,16.4,Usage pattern indicates high_consumption behavior with 54.4 kWh per person.,Good efficiency at 79.5 with room for improvement. Building constructed in 2015 with 12 appliances.,Optimize HVAC system settings; Implement energy conservation practices; Consider solar panel installation
19,CUST0019,2024-06-21T00:31:00,2024-06-21,00:31:00,0,Friday,6,Summer,0,0,Large_Business,Medium,46-55,4,Midwest,Temperate,Suburban,Wind,Analog_Meter,Fair,Office,3097,1950,None,54.48,38.72,14.64,13.62,0.0176,Eco_Conscious,Shift_Work,Night_Owl,78.9,Extreme_High,0.45,20,"Computer,Refrigerator,Dishwasher,Oven,Dryer,Water_Heater,Microwave,Air_Conditioner,Washing_Machine,TV,Gaming_Console,Heater",50.12,8.16,16.0,Energy consumption of 54.5 kWh for office with 4 occupants.,Good efficiency at 78.8951159963807 with room for improvement. Building constructed in 1950 with 12 appliances.,Optimize HVAC system settings
20,CUST0020,2024-12-25T14:17:00,2024-12-25,14:17:00,14,Wednesday,12,Winter,0,1,Large_Business,High,26-35,2,Southeast,Temperate,Urban,Battery_Backup,Analog_Meter,Good,Apartment,1041,1965,Energy_Star,27.93,22.2,8.68,13.96,0.0268,Tech_Heavy,Unemployed,Regular,90.1,Extreme_High,0.677,11,"Oven,Dryer,Microwave,Washing_Machine,Water_Heater,Refrigerator,Air_Conditioner,Computer,Dishwasher,Heater,TV",25.69,3.77,7.5,Usage pattern indicates tech_heavy behavior with 14.0 kWh per person.,Excellent efficiency rating of 90.12643951781529 with Energy_Star certification. Building constructed in 1965 with 11 appliances.,Optimize HVAC system settings
21,CUST0021,2024-02-22T00:36:00,2024-02-22,00:36:00,0,Thursday,2,Winter,0,0,Large_Business,Very_High,46-55,8,Midwest,Subtropical,Urban,Wind,Digital_Meter,Excellent,Single_Family,2937,1980,Energy_Star,137.44,107.44,35.66,17.18,0.0468,Minimalist,Hybrid,Night_Owl,96.5,Extreme_High,0.269,14,"Dishwasher,Dryer,Water_Heater,Gaming_Console,TV,Oven,Computer,Microwave,Air_Conditioner,Washing_Machine,Heater,Refrigerator",126.45,17.79,13.6,A 8-person household in a single_family showing 137.4 kWh usage.,Excellent efficiency rating of 96.47717609149711 with Energy_Star certification. Building constructed in 1980 with 12 appliances.,Optimize HVAC system settings; Consider solar panel installation
22,CUST0022,2024-11-08T23:06:00,2024-11-08,23:06:00,23,Friday,11,Fall,0,0,Small_Business,Medium,36-45,2,Southeast,Subtropical,Urban,Battery_Backup,Smart_Meter,Good,Single_Family,2052,1980,Energy_Star,34.68,25.3,13.24,17.34,0.0169,High_Consumption,Remote,Night_Owl,83.1,Extreme_High,0.056,14,"Water_Heater,Computer,Dishwasher,Dryer,Oven,TV,Microwave,Heater,Air_Conditioner,Gaming_Console,Refrigerator,Washing_Machine",31.9,4.9,6.4,High_Consumption lifestyle with 17.3 kWh per person during night.,Excellent efficiency rating of 83.14209229697998 with Energy_Star certification. Building constructed in 1980 with 12 appliances.,Optimize HVAC system settings; Implement energy conservation practices; Consider solar panel installation
23,CUST0023,2024-06-06T19:47:00,2024-06-06,19:47:00,19,Thursday,6,Summer,0,0,Large_Business,Very_High,18-25,8,Midwest,Continental,Suburban,Battery_Backup,Analog_Meter,Poor,Condo,2820,1955,None,638.06,406.0,202.31,79.76,0.2263,High_Consumption,Unemployed,Regular,76.5,Extreme_High,1.0,12,"Heater,Air_Conditioner,Water_Heater,Refrigerator,Oven,Computer,Gaming_Console,Dishwasher,Dryer,Washing_Machine,TV,Microwave",587.02,84.06,14.8,A 8-person household in a condo showing 638.1 kWh usage.,Good efficiency at 76.45 with room for improvement. Building constructed in 1955 with 12 appliances.,Optimize HVAC system settings; Implement energy conservation practices
24,CUST0024,2024-08-28T11:26:00,2024-08-28,11:26:00,11,Wednesday,8,Summer,0,0,Large_Business,High,65+,2,Southeast,Temperate,Suburban,Hybrid,Digital_Meter,Poor,Office,2445,1950,Energy_Star,66.38,42.32,18.08,33.19,0.0272,High_Consumption,Remote,Irregular,70.5,Extreme_High,0.697,5,"Heater,Gaming_Console,Computer,TV,Refrigerator",61.07,9.15,17.5,A 2-person household in a office showing 66.4 kWh usage.,Good efficiency at 70.55 with room for improvement. Building constructed in 1950 with 5 appliances.,Implement energy conservation practices
25,CUST0025,2024-04-14T08:35:00,2024-04-14,08:35:00,8,Sunday,4,Spring,1,0,Small_Business,High,46-55,8,Northeast,Tropical,Rural,Battery_Backup,Smart_Meter,Good,Townhouse,3182,1990,LEED_Platinum,213.97,147.93,48.98,26.75,0.0672,Average,Remote,Irregular,99.0,Extreme_High,0.051,9,"Computer,Oven,Gaming_Console,Heater,TV,Water_Heater,Dryer,Microwave,Dishwasher",196.85,23.44,17.0,Average lifestyle with 26.7 kWh per person during morning.,Excellent efficiency rating of 99.045 with LEED_Platinum certification. Building constructed in 1990 with 9 appliances.,Consider solar panel installation
26,CUST0026,2024-02-05T08:49:00,2024-02-05,08:49:00,8,Monday,2,Winter,0,0,Industrial,High,56-65,5,Northeast,Temperate,Rural,Wind,Analog_Meter,Poor,Apartment,1597,1985,None,218.83,148.2,72.81,43.77,0.137,Tech_Heavy,Unemployed,Irregular,85.1,Extreme_High,1.0,15,"Dryer,Water_Heater,Air_Conditioner,TV,Heater,Gaming_Console,Computer,Refrigerator,Washing_Machine,Microwave,Dishwasher,Oven",201.33,30.86,24.6,Usage pattern indicates tech_heavy behavior with 43.8 kWh per person.,Excellent efficiency rating of 85.112 with None certification. Building constructed in 1985 with 12 appliances.,Optimize HVAC system settings
27,CUST0027,2024-01-19T04:32:00,2024-01-19,04:32:00,4,Friday,1,Winter,0,0,Large_Business,Low,46-55,2,West_Coast,Continental,Urban,Solar,Digital_Meter,Good,Single_Family,1873,1985,LEED_Silver,33.78,26.88,11.89,16.89,0.018,Eco_Conscious,Remote,Regular,85.9,Extreme_High,0.127,17,"Microwave,Heater,Computer,Gaming_Console,Refrigerator,Oven,Air_Conditioner,Dishwasher,Washing_Machine,Water_Heater,Dryer,TV",31.08,4.57,7.0,Eco_Conscious lifestyle with 16.9 kWh per person during night.,Excellent efficiency rating of 85.87874253592312 with LEED_Silver certification. Building constructed in 1985 with 12 appliances.,Optimize HVAC system settings; Consider solar panel installation
28,CUST0028,2024-12-21T09:57:00,2024-12-21,09:57:00,9,Saturday,12,Winter,1,0,Residential,Low,36-45,1,Midwest,Temperate,Suburban,Hybrid,Smart_Meter,Good,Office,2449,1980,None,24.29,18.95,8.15,24.29,0.0099,Average,Hybrid,Early_Bird,63.0,Extreme_High,0.24,17,"Air_Conditioner,Heater,Dryer,Computer,Washing_Machine,Dishwasher,Water_Heater,Gaming_Console,Microwave,TV,Refrigerator,Oven",22.35,2.62,13.8,Energy consumption of 24.3 kWh for office with 1 occupants.,Good efficiency at 63.0 with room for improvement. Building constructed in 1980 with 12 appliances.,Optimize HVAC system settings
29,CUST0029,2024-10-27T09:40:00,2024-10-27,09:40:00,9,Sunday,10,Fall,1,0,Industrial,High,46-55,5,Southeast,Continental,Suburban,Grid,Smart_Meter,Poor,Office,3451,1975,None,413.79,300.96,134.14,82.76,0.1199,High_Consumption,Remote,Irregular,73.7,Extreme_High,1.0,6,"Air_Conditioner,Computer,Oven,Dryer,Microwave,Dishwasher",380.69,55.4,19.4,High_Consumption lifestyle with 82.8 kWh per person during morning.,Good efficiency at 73.696 with room for improvement. Building constructed in 1975 with 6 appliances.,Optimize HVAC system settings; Implement energy conservation practices
30,CUST0030,2024-11-17T03:57:00,2024-11-17,03:57:00,3,Sunday,11,Fall,1,0,Residential,High,46-55,1,West_Coast,Temperate,Rural,Solar,Smart_Meter,Fair,Townhouse,1589,2005,Energy_Star,5.05,3.83,1.02,5.05,0.0032,Tech_Heavy,Office,Regular,95.5,Moderate_Usage,0.603,13,"Computer,Oven,Microwave,Dishwasher,Water_Heater,Refrigerator,Gaming_Console,Air_Conditioner,Dryer,Washing_Machine,Heater,TV",4.64,0.64,14.1,Energy consumption of 5.0 kWh for townhouse with 1 occupants.,Excellent efficiency rating of 95.45186153003732 with Energy_Star certification. Building constructed in 2005 with 12 appliances.,Consider solar panel installation
31,CUST0031,2024-10-26T12:52:00,2024-10-26,12:52:00,12,Saturday,10,Fall,1,0,Large_Business,Low,65+,4,Southwest,Tropical,Rural,Battery_Backup,Digital_Meter,Good,Warehouse,2158,1955,Energy_Star,35.57,22.31,10.34,8.89,0.0165,Eco_Conscious,Remote,Night_Owl,93.8,High_Usage,0.485,6,"Oven,Computer,Dishwasher,Air_Conditioner,Dryer,Water_Heater",32.72,4.75,19.9,Usage pattern indicates eco_conscious behavior with 8.9 kWh per person.,Excellent efficiency rating of 93.81794340235503 with Energy_Star certification. Building constructed in 1955 with 6 appliances.,Optimize HVAC system settings
32,CUST0032,2024-10-27T23:46:00,2024-10-27,23:46:00,23,Sunday,10,Fall,1,0,Small_Business,Very_High,65+,2,Southwest,Polar,Suburban,Wind,Smart_Meter,Fair,Apartment,1020,1985,Energy_Star,8.11,6.47,2.9,4.05,0.0079,Minimalist,Office,Regular,100,Moderate_Usage,0.503,13,"Dryer,Dishwasher,Computer,Heater,Water_Heater,Microwave,TV,Oven,Refrigerator,Air_Conditioner,Gaming_Console,Washing_Machine",7.46,0.89,21.6,Minimalist lifestyle with 4.1 kWh per person during night.,Excellent efficiency rating of 100 with Energy_Star certification. Building constructed in 1985 with 12 appliances.,Maintain current efficient practices
33,CUST0033,2024-10-27T06:52:00,2024-10-27,06:52:00,6,Sunday,10,Fall,1,0,Small_Business,High,26-35,1,Midwest,Subtropical,Urban,Battery_Backup,Digital_Meter,Good,Single_Family,1567,2000,LEED_Platinum,8.26,5.79,3.21,8.26,0.0053,Average,Unemployed,Regular,84.7,High_Usage,0.341,13,"Refrigerator,Washing_Machine,TV,Gaming_Console,Dishwasher,Microwave,Water_Heater,Dryer,Oven,Computer,Air_Conditioner,Heater",7.6,0.84,20.7,Energy consumption of 8.3 kWh for single_family with 1 occupants.,Excellent efficiency rating of 84.74059088234222 with LEED_Platinum certification. Building constructed in 2000 with 12 appliances.,Consider solar panel installation
34,CUST0034,2024-08-22T20:01:00,2024-08-22,20:01:00,20,Thursday,8,Summer,0,0,Residential,Very_High,46-55,7,Northeast,Continental,Rural,Hybrid,Smart_Meter,Excellent,Townhouse,2733,1995,LEED_Gold,216.18,147.6,79.01,30.88,0.0791,Tech_Heavy,Unemployed,Regular,98.7,Extreme_High,0.412,14,"Computer,Gaming_Console,Air_Conditioner,TV,Dishwasher,Heater,Microwave,Refrigerator,Water_Heater,Dryer,Washing_Machine,Oven",198.88,25.93,19.6,Energy consumption of 216.2 kWh for townhouse with 7 occupants.,Excellent efficiency rating of 98.69142857142857 with LEED_Gold certification. Building constructed in 1995 with 12 appliances.,Optimize HVAC system settings; Consider solar panel installation
35,CUST0035,2024-08-06T10:42:00,2024-08-06,10:42:00,10,Tuesday,8,Summer,0,0,Large_Business,High,26-35,8,Northeast,Tropical,Urban,Grid,Digital_Meter,Excellent,Warehouse,2866,2005,LEED_Silver,672.89,492.12,164.76,84.11,0.2348,Tech_Heavy,Unemployed,Regular,86.3,Extreme_High,1.0,18,"Microwave,Heater,TV,Refrigerator,Oven,Computer,Washing_Machine,Water_Heater,Gaming_Console,Air_Conditioner,Dryer,Dishwasher",619.06,70.93,21.9,Energy consumption of 672.9 kWh for warehouse with 8 occupants.,Excellent efficiency rating of 86.33500000000001 with LEED_Silver certification. Building constructed in 2005 with 12 appliances.,Optimize HVAC system settings
36,CUST0036,2024-02-28T08:36:00,2024-02-28,08:36:00,8,Wednesday,2,Winter,0,0,Small_Business,Very_High,56-65,1,West_Coast,Temperate,Urban,Solar,Digital_Meter,Fair,Townhouse,1592,1975,LEED_Platinum,11.66,8.05,2.7,11.66,0.0073,Tech_Heavy,Shift_Work,Early_Bird,85.8,Extreme_High,0.085,5,"Dishwasher,Gaming_Console,Dryer,TV,Heater",10.72,1.35,11.5,A 1-person household in a townhouse showing 11.7 kWh usage.,Excellent efficiency rating of 85.8448708084163 with LEED_Platinum certification. Building constructed in 1975 with 5 appliances.,Consider solar panel installation
37,CUST0037,2024-01-27T04:10:00,2024-01-27,04:10:00,4,Saturday,1,Winter,1,0,Residential,Low,36-45,8,Southwest,Continental,Rural,Hybrid,Digital_Meter,Fair,Apartment,1858,2010,None,100.59,62.77,30.13,12.57,0.0541,Minimalist,Office,Irregular,93.8,Extreme_High,0.154,14,"Refrigerator,Dryer,TV,Water_Heater,Gaming_Console,Dishwasher,Washing_Machine,Air_Conditioner,Oven,Heater,Microwave,Computer",92.55,12.23,7.6,Minimalist lifestyle with 12.6 kWh per person during night.,Excellent efficiency rating of 93.78064437893762 with None certification. Building constructed in 2010 with 12 appliances.,Optimize HVAC system settings
38,CUST0038,2024-09-13T17:53:00,2024-09-13,17:53:00,17,Friday,9,Fall,0,0,Large_Business,Low,46-55,1,Southwest,Tropical,Suburban,Grid,Digital_Meter,Poor,Office,2248,1980,Energy_Star,9.57,7.41,3.34,9.57,0.0043,Minimalist,Office,Night_Owl,73.4,High_Usage,0.468,19,"Water_Heater,Microwave,Dishwasher,TV,Air_Conditioner,Computer,Dryer,Oven,Heater,Washing_Machine,Refrigerator,Gaming_Console",8.8,1.06,20.6,A 1-person household in a office showing 9.6 kWh usage.,Good efficiency at 73.43326762173957 with room for improvement. Building constructed in 1980 with 12 appliances.,Maintain current efficient practices
39,CUST0039,2024-09-18T20:07:00,2024-09-18,20:07:00,20,Wednesday,9,Fall,0,0,Small_Business,High,36-45,3,Southeast,Tropical,Urban,Wind,Smart_Meter,Good,Office,2790,1960,LEED_Platinum,35.03,24.58,9.18,11.68,0.0126,Eco_Conscious,Shift_Work,Irregular,98.7,Extreme_High,0.477,15,"Heater,Microwave,Washing_Machine,Computer,Dishwasher,Dryer,TV,Air_Conditioner,Oven,Water_Heater,Refrigerator,Gaming_Console",32.23,4.3,6.1,Energy consumption of 35.0 kWh for office with 3 occupants.,Excellent efficiency rating of 98.7219246996949 with LEED_Platinum certification. Building constructed in 1960 with 12 appliances.,Optimize HVAC system settings
40,CUST0040,2024-02-09T20:55:00,2024-02-09,20:55:00,20,Friday,2,Winter,0,0,Residential,Very_High,46-55,1,Southwest,Polar,Rural,Solar,Digital_Meter,Poor,Office,2330,1960,LEED_Platinum,19.34,11.86,4.23,19.34,0.0083,High_Consumption,Remote,Night_Owl,76.7,Extreme_High,0.037,19,"Computer,Gaming_Console,Heater,Washing_Machine,Microwave,Air_Conditioner,TV,Dryer,Oven,Dishwasher,Refrigerator,Water_Heater",17.79,2.59,10.7,High_Consumption lifestyle with 19.3 kWh per person during evening.,Good efficiency at 76.66474088796 with room for improvement. Building constructed in 1960 with 12 appliances.,Implement energy conservation practices
